from_ff,to_ff,slack_ns,arrival_ns,required_ns,from_x,from_y,to_x,to_y
sa22_sr\[6\]$_DFF_P_,text_out\[46\]$_DFF_P_,2.89473e-10,7.53239e-11,3.64797e-10,39636,47250,39690,64530
sa22_sr\[7\]$_DFF_P_,text_out\[47\]$_DFF_P_,2.89381e-10,7.54158e-11,3.64797e-10,57294,48060,39474,65340
u0.w\[2\]\[16\]$_DFF_P_,text_out\[48\]$_DFF_P_,2.82603e-10,8.22184e-11,3.64822e-10,35532,19440,44874,25380
u0.w\[2\]\[17\]$_DFF_P_,text_out\[49\]$_DFF_P_,2.82663e-10,8.21582e-11,3.64822e-10,35208,17010,34128,16470
sa33_sr\[4\]$_DFF_P_,text_out\[4\]$_DFF_P_,2.85264e-10,7.95236e-11,3.64787e-10,14310,41580,3726,43200
u0.w\[2\]\[18\]$_DFF_P_,text_out\[50\]$_DFF_P_,2.86312e-10,7.851e-11,3.64822e-10,34398,14580,35478,14040
sa12_sr\[3\]$_DFF_P_,text_out\[51\]$_DFF_P_,2.75369e-10,8.93982e-11,3.64768e-10,27270,12960,35154,3240
u0.w\[2\]\[20\]$_DFF_P_,text_out\[52\]$_DFF_P_,2.84562e-10,8.02599e-11,3.64822e-10,48708,31590,41904,36990
u0.w\[2\]\[21\]$_DFF_P_,text_out\[53\]$_DFF_P_,2.8247e-10,8.2297e-11,3.64767e-10,35478,18090,28080,14850
sa12_sr\[6\]$_DFF_P_,text_out\[54\]$_DFF_P_,2.78304e-10,8.64775e-11,3.64782e-10,27540,18360,52650,29970
sa12_sr\[7\]$_DFF_P_,text_out\[55\]$_DFF_P_,2.58942e-10,1.0584e-10,3.64782e-10,25542,21060,36558,31860
sa02_sr\[0\]$_DFF_P_,text_out\[56\]$_DFF_P_,2.80977e-10,8.38453e-11,3.64822e-10,31482,50760,35100,53460
sa02_sr\[1\]$_DFF_P_,text_out\[57\]$_DFF_P_,2.72319e-10,9.25028e-11,3.64822e-10,34182,56970,35802,58860
u0.w\[2\]\[26\]$_DFF_P_,text_out\[58\]$_DFF_P_,2.84405e-10,8.03806e-11,3.64785e-10,26892,20250,34884,58590
sa02_sr\[3\]$_DFF_P_,text_out\[59\]$_DFF_P_,2.8445e-10,8.03286e-11,3.64779e-10,30618,56970,34074,64800
sa33_sr\[5\]$_DFF_P_,text_out\[5\]$_DFF_P_,2.85791e-10,7.89908e-11,3.64782e-10,14256,43200,20304,57510
sa02_sr\[4\]$_DFF_P_,text_out\[60\]$_DFF_P_,2.84694e-10,8.00875e-11,3.64781e-10,31482,58050,35262,63990
sa02_sr\[5\]$_DFF_P_,text_out\[61\]$_DFF_P_,2.83085e-10,8.17173e-11,3.64803e-10,27810,54000,48114,32670
sa02_sr\[6\]$_DFF_P_,text_out\[62\]$_DFF_P_,2.8424e-10,8.05364e-11,3.64776e-10,30348,59400,35154,59670
sa02_sr\[7\]$_DFF_P_,text_out\[63\]$_DFF_P_,2.80049e-10,8.47477e-11,3.64797e-10,32076,60480,35478,62100
sa31_sr\[0\]$_DFF_P_,text_out\[64\]$_DFF_P_,2.7943e-10,8.53913e-11,3.64821e-10,48870,31050,51570,32400
u0.w\[1\]\[1\]$_DFF_P_,text_out\[65\]$_DFF_P_,2.86594e-10,7.82275e-11,3.64822e-10,9720,36990,53460,33210
u0.w\[1\]\[2\]$_DFF_P_,text_out\[66\]$_DFF_P_,2.84135e-10,8.06626e-11,3.64797e-10,17334,41850,53676,38070
u0.w\[1\]\[3\]$_DFF_P_,text_out\[67\]$_DFF_P_,2.84517e-10,8.02599e-11,3.64777e-10,12852,39690,51246,39420
sa31_sr\[4\]$_DFF_P_,text_out\[68\]$_DFF_P_,2.82964e-10,8.18584e-11,3.64822e-10,58374,36720,54000,35910
sa31_sr\[5\]$_DFF_P_,text_out\[69\]$_DFF_P_,2.85172e-10,7.96488e-11,3.64821e-10,60264,36180,54324,34290
sa33_sr\[6\]$_DFF_P_,text_out\[6\]$_DFF_P_,2.84063e-10,8.07107e-11,3.64774e-10,14364,44550,3294,42660
sa31_sr\[6\]$_DFF_P_,text_out\[70\]$_DFF_P_,2.84063e-10,8.07107e-11,3.64774e-10,60534,36450,64962,36180
sa31_sr\[7\]$_DFF_P_,text_out\[71\]$_DFF_P_,2.8247e-10,8.23268e-11,3.64797e-10,49194,30780,54756,35640
u0.w\[1\]\[8\]$_DFF_P_,text_out\[72\]$_DFF_P_,2.84149e-10,8.06626e-11,3.64811e-10,30834,49680,49896,27540
sa21_sr\[1\]$_DFF_P_,text_out\[73\]$_DFF_P_,2.83625e-10,8.11967e-11,3.64822e-10,38880,36450,50436,27270
sa21_sr\[2\]$_DFF_P_,text_out\[74\]$_DFF_P_,2.62872e-10,1.0195e-10,3.64822e-10,35316,35910,50814,27810
u0.w\[1\]\[11\]$_DFF_P_,text_out\[75\]$_DFF_P_,2.83968e-10,8.08317e-11,3.648e-10,35316,55890,50814,29160
sa21_sr\[4\]$_DFF_P_,text_out\[76\]$_DFF_P_,2.83315e-10,8.15065e-11,3.64822e-10,38934,35640,53568,29430
sa21_sr\[5\]$_DFF_P_,text_out\[77\]$_DFF_P_,2.88442e-10,7.63488e-11,3.64791e-10,39204,38070,51138,32940
sa21_sr\[6\]$_DFF_P_,text_out\[78\]$_DFF_P_,2.88863e-10,7.59334e-11,3.64796e-10,48276,32400,50220,32670
sa21_sr\[7\]$_DFF_P_,text_out\[79\]$_DFF_P_,2.82763e-10,8.2034e-11,3.64797e-10,45792,34560,50220,28890
sa33_sr\[7\]$_DFF_P_,text_out\[7\]$_DFF_P_,2.77854e-10,8.69426e-11,3.64797e-10,15606,38880,3942,39690
sa11_sr\[0\]$_DFF_P_,text_out\[80\]$_DFF_P_,2.80625e-10,8.41972e-11,3.64822e-10,47574,22680,48006,4320
sa11_sr\[1\]$_DFF_P_,text_out\[81\]$_DFF_P_,2.80582e-10,8.42396e-11,3.64822e-10,47304,22950,49086,24300
sa11_sr\[2\]$_DFF_P_,text_out\[82\]$_DFF_P_,2.78187e-10,8.66354e-11,3.64822e-10,40122,13230,42606,12690
u0.w\[1\]\[19\]$_DFF_P_,text_out\[83\]$_DFF_P_,2.88148e-10,7.66359e-11,3.64784e-10,36882,13230,46494,3240
sa11_sr\[4\]$_DFF_P_,text_out\[84\]$_DFF_P_,2.8525e-10,7.95251e-11,3.64775e-10,47466,23220,59508,24570
u0.w\[1\]\[21\]$_DFF_P_,text_out\[85\]$_DFF_P_,2.89645e-10,7.51443e-11,3.64789e-10,35640,20250,63774,25380
u0.w\[1\]\[22\]$_DFF_P_,text_out\[86\]$_DFF_P_,2.87655e-10,7.71272e-11,3.64783e-10,50868,29970,52056,28890
sa11_sr\[7\]$_DFF_P_,text_out\[87\]$_DFF_P_,2.78513e-10,8.62692e-11,3.64783e-10,47898,21060,51300,20520
sa01_sr\[0\]$_DFF_P_,text_out\[88\]$_DFF_P_,2.7673e-10,8.80918e-11,3.64822e-10,48276,24840,56916,24030
sa01_sr\[1\]$_DFF_P_,text_out\[89\]$_DFF_P_,2.7834e-10,8.64819e-11,3.64822e-10,47358,25920,49950,21600
sa23_sr\[0\]$_DFF_P_,text_out\[8\]$_DFF_P_,2.79225e-10,8.55732e-11,3.64798e-10,37584,32670,2322,37260
sa01_sr\[2\]$_DFF_P_,text_out\[90\]$_DFF_P_,2.81706e-10,8.3061e-11,3.64767e-10,54648,22410,53136,20790
sa01_sr\[3\]$_DFF_P_,text_out\[91\]$_DFF_P_,2.79375e-10,8.54466e-11,3.64822e-10,53352,21330,53730,21870
sa01_sr\[4\]$_DFF_P_,text_out\[92\]$_DFF_P_,2.83101e-10,8.16806e-11,3.64782e-10,57996,24030,65016,26460
sa01_sr\[5\]$_DFF_P_,text_out\[93\]$_DFF_P_,2.8445e-10,8.03286e-11,3.64779e-10,60642,24840,64584,25920
sa01_sr\[6\]$_DFF_P_,text_out\[94\]$_DFF_P_,2.8424e-10,8.05364e-11,3.64776e-10,63288,23490,64206,23760
sa01_sr\[7\]$_DFF_P_,text_out\[95\]$_DFF_P_,2.79058e-10,8.5739e-11,3.64797e-10,49734,21060,56754,24570
sa30_sr\[0\]$_DFF_P_,text_out\[96\]$_DFF_P_,2.76465e-10,8.83572e-11,3.64822e-10,32184,42390,46008,48870
sa30_sr\[1\]$_DFF_P_,text_out\[97\]$_DFF_P_,2.78247e-10,8.6573e-11,3.6482e-10,37746,44010,65232,41310
sa30_sr\[2\]$_DFF_P_,text_out\[98\]$_DFF_P_,2.79885e-10,8.49347e-11,3.6482e-10,32022,46170,64476,43470
u0.w\[0\]\[3\]$_DFF_P_,text_out\[99\]$_DFF_P_,2.82697e-10,8.21034e-11,3.64801e-10,13230,40500,43848,48600
sa23_sr\[1\]$_DFF_P_,text_out\[9\]$_DFF_P_,2.76726e-10,8.80964e-11,3.64822e-10,39366,30240,3402,38880
